Id,Time_,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class_
8000,10990,-0.9789694895833059,0.8913710585277909,2.3195348785228598,-0.36644252574796,-0.0644284624348069,-0.701253204921447,0.287478640049507,-0.277377742854159,0.889065107143445,-0.888369299985104,0.798600835419164,-1.86486728079157,3.34244804514508,0.9797099641224749,0.28523296152308303,0.25523166647814804,0.25199570663318,0.11443449963766199,-0.141914987882041,0.0238122079238867,0.0166479165722379,0.289814017186599,-0.354844000576512,0.451382157593924,0.146643200509974,1.03580844468919,-0.28571471112476005,0.0676393028115307,12.95,0
8001,10990,1.18797616119661,-0.15026606813624802,0.950144107416802,0.273608954615173,-1.00812050732046,-0.6685411410992359,-0.633928263190661,0.0135312176890657,1.68528139912936,-0.308360096560234,2.27314500088701,-2.3912132518643303,0.20110964128147799,1.97625256250294,0.0250931449998282,0.69248783590433,0.202147757815486,0.7636959854546469,-0.18112445513304104,-0.170890161086648,-0.0181738134738465,0.0995653404441515,0.0147978058852351,0.512314924372665,0.0996703818512229,1.00609786335305,-0.10253367673357,-0.00545935961862868,15.95,0
8002,10991,-0.291467109715578,0.848939237641923,1.85325945910179,0.0579203681148648,-0.43893136444927094,-0.59737301698046,0.20013257152930602,-0.201451190077633,1.10138936654288,-0.6567233921434631,0.57934538299488,-2.4947738965819304,2.18284890307437,1.3184074749063799,0.63762398594322,0.0840441509727263,0.503038813997015,0.36260425507797894,0.40247433523021897,0.037224418700158995,0.0762640263444771,0.48824838446121605,-0.0767961552991336,0.42995641925550604,-0.734458489262292,1.01107307995859,-0.056456064747675005,0.14563280609889903,14.95,0
8003,10991,-0.3624541721586121,0.475100452978943,1.57959327109782,-0.8917707055839059,0.0067484234705192,-0.45160567344021707,0.16788908448400103,0.0427881555557431,1.1572050774977,-0.903575890079862,1.6688244078946701,-2.24049679536656,1.24025452470732,1.6123264221856102,-0.82372864847699,0.956848902819777,-0.35921461821893497,0.9120827244043921,-0.606932346269787,-0.13013688158607598,0.11706953428319,0.47941595080343397,-0.0262883852474576,-0.00676155091609645,-0.8770695124288341,0.75205524361927,0.0617398879446833,0.16053076627410198,15.95,0
8004,10992,1.34531614825158,-0.0181774147817114,0.290021623176024,-0.00606470430026376,-0.12598563861342899,-0.026471044083091,-0.449741562708247,-0.12661653477249402,1.79459155522969,-0.525464551887623,-0.5678489296236079,-2.69654604459746,2.28491812493677,1.34129227997658,0.6552188368243199,0.8838893508539342,-0.228953123976364,0.581674685699391,0.12265267600217099,-0.0193554606548415,-0.155715674129933,-0.16873475000094199,-0.19103474594414896,-0.9803765879902329,0.402361795434879,1.1166574504624098,-0.0896813969592316,-0.00773165767888027,15.95,0
8005,10992,1.20887254696498,-0.228873527818627,0.516675722772037,0.22593115611151102,-0.5759620017218461,-0.218116412778859,-0.43163102258214603,-0.0037337884617611797,1.95150068111518,-0.546893937406692,1.5074520543519598,-1.88339263275129,0.739229853663239,1.54860489426099,-1.62442707701002,-0.061791210140772004,0.5990608863794301,0.264199540551436,0.670910217522975,-0.125625921836237,-0.234264453889197,-0.294811135515653,-0.107318808558676,0.0162085911949086,0.39985096046566704,1.07737654587134,-0.106665164655864,-0.0186768984756343,24.35,0
8006,10993,1.24197956107768,-0.0931446501295677,0.394473463844152,-0.054619938052036,-0.15066213603497502,0.188103925981768,-0.47680291481408,-0.0341473713368599,1.42619140578446,-0.38515788591961,1.44008508962401,-1.61391210859709,2.75880100458,1.4385880572233603,-0.12458703707383599,0.9877921829034659,-0.428702555883503,0.9330921233973379,0.31337427934951095,0.0692761096114742,-0.0679564467968615,0.0230176740696488,-0.202263831308087,-0.783881433616894,0.35296754063341995,1.08035976838349,-0.0936606644087158,-0.0102657309747928,39.0,0
8007,10993,1.2974799356411102,-0.10232223128566802,0.327878316350277,-0.10207904208989199,-0.14296563769531,0.249701075573318,-0.5842807676491619,0.0439345004587083,1.60399641579032,-0.342435024983312,1.10604907649077,-2.24477304391913,1.7031932668993601,1.63843290904726,0.0033045573290955,1.08416171504664,-0.42835048525946706,1.11546169333122,0.39098846780305696,-0.0414959650629928,-0.10533154680905499,-0.0840891713446022,-0.189623640188934,-0.9819469950763381,0.347155077170856,1.0967980691352,-0.0965895162251787,-0.0182941994180592,15.95,0
8008,10993,-0.656812825640278,-0.335557684939085,1.39260959204963,-0.23807573588979603,1.5418379948874399,0.153548779310866,-0.335491196338842,-0.0745221509343303,1.0259705499934302,-0.31816694752770597,0.9023164817463509,-2.08737176608675,2.9781147803053303,1.1662873156944298,0.0571712198032781,0.663468461813443,-0.48806168583655996,1.36195324401191,1.34684854520616,0.49262161926244696,0.0346374512999284,0.300446610205794,-0.153503218514187,-1.34343529616943,-0.48466572420137505,1.08327505428258,-0.126472731118676,-0.0820750431931201,15.95,0
8009,10993,1.30813864816029,-0.107937363474583,0.16263692126854998,-0.19169584743207196,0.0813483378289758,0.48916574816178204,-0.549243067342836,0.0404258875225828,1.55960630813943,-0.359686589843437,0.833468766787837,-2.12733875976096,2.2379436510252697,1.5244804526928797,-0.017730363607477,1.1783084209421202,-0.597635527312124,1.18870598168052,0.53325949207378,0.0193250763075429,-0.120407424815055,-0.12327115895659599,-0.251761748263297,-1.36280173549411,0.41206306012920796,1.1186795181878602,-0.0957708344123788,-0.0197198722001787,24.95,0
